,Unnamed: 0,ID,x,y,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID.1,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
277,528,267,590698.9015,6136820.144,124515.1,5522.158015,N,1025.865631,E,4,6,2.7,22.16,M,39.413,M,1.1,0013*7D,,new_Downspout Grille,,267,-,-,-,-,-
278,527,270,590712.8475,6136837.323,124427.1,5522.167119,N,1025.879163,E,4,8,1.9,22.389,M,39.413,M,1.1,0013*70,,new_Downspout Grille,,270,-,-,1210521228,-,-
279,525,272,590732.1562,6136839.273,124337.25,5522.167956,N,1025.897475,E,4,13,0.8,23.295,M,39.413,M,1.3,0013*72,,new_Downspout Grille,,272,-,-,-,-,-
280,545,280,590772.6658,6136823.062,125234.55,5522.15877,N,1025.935497,E,4,8,1.4,22.726,M,39.413,M,1.5,0013*71,,new_Downspout Grille,,280,-,-,1202730952,-,-
281,543,282,590753.1865,6136821.11,125157.05,5522.157934,N,1025.917024,E,4,8,2.3,22.752,M,39.413,M,2,0013*7A,,new_Downspout Grille,,282,-,-,1202730953,-,-
282,541,284,590733.9486,6136819.351,125114,5522.157199,N,1025.898783,E,4,10,1.2,22.698,M,39.413,M,1,0013*72,,new_Downspout Grille,,284,-,-,1202730954,-,-
283,539,286,590714.6397,6136817.62,125034.1,5522.15648,N,1025.880476,E,4,10,1.9,22.766,M,39.413,M,1.1,0013*79,,new_Downspout Grille,,286,-,-,1210521229,-,-
284,436,452,590680.2182,6136735.936,115643.65,5522.112835,N,1025.846312,E,4,13,0.8,23.39,M,39.413,M,1.6,0013*7D,,new_Downspout Grille,,452,-,-,-,-,-
285,517,533,590800.5436,6136701.502,123200.6,5522.092942,N,1025.959512,E,4,10,1.1,22.37,M,39.413,M,0.6,0013*78,,new_Downspout Grille,,533,-,-,-,-,-
286,563,580,590709.1979,6136802.031,130035.4,5522.148138,N,1025.875023,E,4,8,2.2,23.645,M,39.413,M,1.4,0013*75,,new_Fuse Box,,580,-,-,-,-,-
287,566,583,590708.8932,6136781.449,130149.7,5522.137048,N,1025.874334,E,4,8,2,23.256,M,39.413,M,0.7,0013*7D,,new_Fuse Box,,583,-,-,-,-,-
