,ID,lat,lon,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
227,239,55.36865633,10.43141852,130700.75,5522.11938,N,1025.885111,E,4,10,,22.881,M,39.415,M,0.8,0024*74,,Light Fixture,,239,-,-,1034152909,-,-
234,246,55.36878538,10.43125892,130943.95,5522.127123,N,1025.875535,E,4,7,,22.934,M,39.415,M,2,0024*7B,,Light Fixture,,246,-,-,1034152908,-,-
235,247,55.3688724,10.43177,131035.7,5522.132344,N,1025.9062,E,4,11,,23.445,M,39.415,M,1.7,0024*73,,Light Fixture,,247,-,-,1113474640,-,-
236,248,55.3688788,10.43193614,131052.6,5522.132728,N,1025.916168,E,4,9,,23.417,M,39.415,M,1.6,0024*7F,,Light Fixture,,248,-,-,1113474623,-,-
237,250,55.368998,10.4324451,131159,5522.13988,N,1025.946706,E,4,10,,23.083,M,39.415,M,1,0024*70,,Light Fixture,,250,-,-,1034152977,-,-
241,254,55.36883907,10.43246675,131550.4,5522.130344,N,1025.948005,E,4,8,,22.975,M,39.415,M,1.4,0024*7B,,Light Fixture,,254,-,-,1034152976,-,-
242,255,55.36915926,10.43242546,131653.95,5522.149556,N,1025.945528,E,4,9,,23.025,M,39.415,M,2,0024*75,,Light Fixture,,255,-,-,1034152905,-,-
243,256,55.36902066,10.43191778,131738.35,5522.14124,N,1025.915067,E,4,10,,23.476,M,39.415,M,1.4,0024*77,,Light Fixture,,256,-,-,1113474817,-,-
244,257,55.36901363,10.43174948,131759.5,5522.140818,N,1025.904969,E,4,8,,23.393,M,39.415,M,1.5,0024*7A,,Light Fixture,,257,-,-,1113474651,-,-
245,258,55.36894643,10.43124085,131839.1,5522.136786,N,1025.874451,E,4,9,,23.705,M,39.415,M,1.1,0024*75,,Light Fixture,,258,-,-,1034152907,-,-
